"product_id","product_name","product_sku","variety_id","variety_name","material_id","material_name"
"1","Banarasi Art Silk Saree (Mauve Pink)","BKS00001","5","Katan","2","Silk"
"2"," Self Design Banarasi Art Silk Saree (Peach)","BKS00002","5","Katan","2","Silk"
"3"," Banarasi Art Silk Saree (Grey)","BKS00003","5","Katan","2","Silk"
"4","Banarasi Art Silk Saree (Light Green)","BKS00004","5","Katan","2","Silk"
"5","Banarasi Art Silk Saree (Pink Orange)","BKS00005","5","Katan","2","Silk"
"6","Banarasi Art Silk Saree (Smoky Blue)","BKS00006","5","Katan","2","Silk"
"7","Heritage Floral Weave Organza Saree(Charcoal Black)","BKS00007","6","Banarasi Kora","3","Organza"
"8","Heritage Floral Weave Organza Saree( Red)","BKS00008","6","Banarasi Kora","3","Organza"
"9","Heritage Floral Weave Organza Saree( Wine Maroon)","BKS00009","6","Banarasi Kora","3","Organza"
"10","Midnight Floral Banarasi Cutwork Saree(Charcoal Black)","BKS00010","7","Cutwork","2","Silk"
"11","Midnight Floral Banarasi Cutwork Saree(Dark Green)","BKS00011","7","Cutwork","2","Silk"
"12","Midnight Floral Banarasi Cutwork Saree(Navy Blue)","BKS00012","7","Cutwork","2","Silk"
"13","Midnight Floral Banarasi Cutwork Saree(Steel Blue)","BKS00013","7","Cutwork","2","Silk"
"14","Midnight Floral Banarasi Cutwork Saree(Midnight Blue)","BKS00014","7","Cutwork","2","Silk"
"15","Midnight Floral Banarasi Cutwork Saree(Greyish Black)","BKS00015","7","Cutwork","2","Silk"
"16","Royal Green Banarasi Booti Saree","BKS00016","2","Banarasi buti Saree","4","Satin Silk"
"17","Royal Deep Purple Banarasi Booti Saree","BKS00017","2","Banarasi buti Saree","4","Satin Silk"
"18","Deep Teal Green Banarasi Booti Saree","BKS00018","2","Banarasi buti Saree","4","Satin Silk"
"19","Royal Blue Banarasi Booti Saree","BKS00019","2","Banarasi buti Saree","4","Satin Silk"
"20","Royal Purple Banarasi Booti Saree","BKS00020","2","Banarasi buti Saree","4","Satin Silk"
"21","Wine Maroon Banarasi Booti Saree","BKS00021","2","Banarasi buti Saree","4","Satin Silk"
"22","Purple Women's Semi Silk Banarasi Saree","BKS00022","2","Banarasi buti Saree","5","Semi Silk"
"23","Mehandi Green Women's Semi Silk Banarasi Saree","BKS00023","2","Banarasi buti Saree","2","Silk"
"24","Reddish Orange Women's Semi Silk Banarasi Saree","BKS00024","2","Banarasi buti Saree","5","Semi Silk"
"25","Teal Blue Women's Semi Silk Banarasi Saree","BKS00025","2","Banarasi buti Saree","5","Semi Silk"
"26","Deep Plum Wine Buti Grace Weave Saree","BKS00026","2","Banarasi buti Saree","4","Satin Silk"
"27","Golden Mustard Wine Buti Grace Weave Saree","BKS00027","2","Banarasi buti Saree","7","Silk Blend Crepe"
"28","Peacock Blue  Buti Grace Weave Saree","BKS00028","2","Banarasi buti Saree","7","Silk Blend Crepe"
"29","Mauve Purple  Buti Grace Weave Saree","BKS00029","2","Banarasi buti Saree","7","Silk Blend Crepe"
"30","Royal Blue  Buti Grace Weave Saree","BKS00030","2","Banarasi buti Saree","7","Silk Blend Crepe"
"31","Teal Satin Silk Kadwa Buti Banarasi Saree","BKS00031","9","Kadwa Buti","4","Satin Silk"
"32","Royal Blue Satin Silk Kadwa Buti Banarasi Saree","BKS00032","9","Kadwa Buti","6","	Satin Silk Blend"
"33","Green Satin Silk Kadwa Buti Banarasi Saree","BKS00033","2","Banarasi buti Saree","6","	Satin Silk Blend"
"34","Rani Pink Satin Silk Kadwa Buti Banarasi Saree","BKS00034","2","Banarasi buti Saree","6","	Satin Silk Blend"
"35","Pink Satin Silk Kadwa Buti Banarasi Saree","BKS00035","2","Banarasi buti Saree","6","	Satin Silk Blend"
"36","Ruby Red Tissue Silk Blend Banarasi Saree","BKS00036","10","Tissue","8","Silk Blend Banarasi"
"37","Magenta Purple Tissue Silk Blend Banarasi Saree","BKS00037","10","Tissue","8","Silk Blend Banarasi"
"38","Mauve Pink Tissue Silk Blend Banarasi Saree","BKS00038","10","Tissue","8","Silk Blend Banarasi"
"39","Peach beigeTissue Silk Blend Banarasi Saree","BKS00039","10","Tissue","8","Silk Blend Banarasi"
"40"," Royal Blue Tissue Silk Blend Banarasi Saree","BKS00040","10","Tissue","8","Silk Blend Banarasi"
"41","Royal Purple Tissue Silk Blend Banarasi Saree","BKS00041","10","Tissue","8","Silk Blend Banarasi"
"42","Teal Green Tissue Silk Blend Banarasi Saree","BKS00042","10","Tissue","8","Silk Blend Banarasi"
"43","Sea Green Banarasi Satin Katan Saree","BKS00043","5","Katan","6","	Satin Silk Blend"
"44","Stone Grey Banarasi Satin Katan Saree","BKS00044","5","Katan","6","	Satin Silk Blend"
"45","Light Blue Banarasi Satin Katan Saree","BKS00045","5","Katan","8","Silk Blend Banarasi"
"46","Pista Green Banarasi Satin Katan Saree","BKS00046","5","Katan","8","Silk Blend Banarasi"
"47","Banarasi Kala Woven, Floral Print Banarasi Brocade, Blend Silk Saree (Wine Purple)","BKS00047","5","Katan","1","Katan"